,Start,End,Duration,Exposure Time [%],Equity Final [$],Equity Peak [$],Return [%],Buy & Hold Return [%],Return (Ann.) [%],Volatility (Ann.) [%],Sharpe Ratio,Sortino Ratio,Calmar Ratio,Max. Drawdown [%],Avg. Drawdown [%],Max. Drawdown Duration,Avg. Drawdown Duration,# Trades,Win Rate [%],Best Trade [%],Worst Trade [%],Avg. Trade [%],Max. Trade Duration,Avg. Trade Duration,Profit Factor,Expectancy [%],SQN,_strategy,,
123,22/03/1981,28/07/2024,15834 days,60.14140521431728,12.929265873429113,10000,-99.87070734,43.03030919547033,-65.79222578,50.489731728050224,0,0,0,-99.90818335,-99.90818335,15631 days,15631 days,201,41.79104478,320.67737998667735,-31.54919328,7.6014920468658875,217 days,41 days,3.6147354458976673,15.303733821422238,3.364617977760762,SSLStrategy,,
112,7/01/1962,28/07/2024,22848 days,59.50995405819296,34.99461564063613,10602.220004339219,-99.65005384,455.8433246072549,-46.8577856,27.876234229268306,0,0,0,-99.80256191,-21.29770491,22225 days,3772 days,252,36.11111111111111,658.7502953308665,-19.3827638,26.474895268340106,259 days,47 days,18.41578096179374,73.38787769242899,6.095049998,SSLStrategy,,
58,7/01/1962,28/07/2024,22848 days,59.50995405819296,82.55139395236337,10402.176189103126,-99.17448606,4780.892522182029,-41.50657968,26.966583750452855,0,0,0,-99.20640266,-25.33403263,22386 days,4542 days,248,43.145161290322584,4543.807158420066,-30.67586818,69.40559128,245 days,48 days,172.57767583295367,558.0976489543643,6.2076174527682735,SSLStrategy,,
100,22/05/1994,28/07/2024,11025 days,61.611675126903556,90.20524428605513,10068.406249999998,-99.09794756,78.79999160766602,-66.39268955,50.439381634435584,0,0,0,-99.33036235,-59.48189992,10528 days,5404 days,152,30.263157894736842,251.5547552108212,-30.45343299,-3.218462822,196 days,38 days,0.808803183,-1.279108421,-1.918970547,SSLStrategy,,
37,4/01/1981,28/07/2024,15911 days,67.06244503078275,98.59158859251883,10000,-99.01408411,-93.74774761,-52.35788783,55.45744534869911,0,0,0,-99.01408411,-99.01408411,15750 days,15750 days,226,22.123893805309734,132.55813953488374,-95.6800497,-36.54073007,301 days,41 days,0.1948516312334249,-14.93384988,-6.252474509,SSLStrategy,,
110,17/10/2010,28/07/2024,5033 days,60.27777777777777,119.28639776229592,12769.939999999999,-98.80713602,-91.6999999,-89.40896375,51.24594763042637,0,0,0,-99.45684476,-32.91633453,4648 days,1217 days,59,30.508474576271187,113.21815416601359,-68.13725357,-7.527347144,217 days,45 days,0.7688154678931431,-2.880652332,-1.676395149,SSLStrategy,,
157,23/03/1980,28/07/2024,16198 days,65.96112311015119,120.83194898604161,15754.526717433928,-98.79168051,347.1874938253315,-50.15488373,42.496943368342606,0,0,0,-99.37947773,-32.7865327,13461 days,2651 days,204,35.294117647058826,467.9924364694492,-22.39133416,5.062387185612227,210 days,46 days,3.9314964978412577,14.037089563550825,3.2316531104807042,SSLStrategy,,
43,25/02/1973,28/07/2024,18781 days,66.20715350223547,124.90472843407449,13031.909307346343,-98.75095272,646.999979,-44.89998111,66.40918351389053,0,0,0,-99.08920228,-21.13056982,18536 days,3723 days,221,55.65610859728507,1149.8823178359885,-38.16982669,54.42578671294318,343 days,50 days,25.355197030032546,116.1351249144124,7.373337614490225,SSLStrategy,,
28,14/09/1986,28/07/2024,13832 days,69.44865958523015,154.12531116483882,14390.138567609778,-98.45874689,138.9552986941477,-53.71507613,40.433034809280535,0,0,0,-99.1239743,-23.20032853,9226 days,1711 days,177,35.02824858757062,152.8851599445931,-75.66716363,-2.366827697,308 days,48 days,0.8130480597607279,-0.963896947,-1.181428391,SSLStrategy,,
105,20/07/2003,28/07/2024,7679 days,64.29872495446266,155.16332667111303,10449.269950819013,-98.44836673,-15.78947368,-74.9632803,33.98682808055659,0,0,0,-99.01272415,-60.87790675,7231 days,3738 days,105,27.61904761904762,131.3021109821438,-27.83915464,-3.906742506,210 days,41 days,0.6839495224610816,-2.357845649,-2.208077514,SSLStrategy,,
233,27/11/1983,28/07/2024,14854 days,70.04239284,197.07311048504587,18290.14058507919,-98.0292689,412.3596944934123,-49.09022001,23.27277424,0,0,0,-98.92251725,-10.53530506,12271 days,732 days,194,21.649484536082475,38.04138595737161,-12.56354421,-2.086416044,385 days,47 days,0.47636370328255706,-1.867023529,-1.13676319,SSLStrategy,,
0,2/10/2005,28/07/2024,6874 days,62.97049847,204.5280920600763,17164.243117656704,-97.95471908,-51.59447898,-76.40816168,40.07816439,0,0,0,-98.80840599,-26.04161855,3472 days,672 days,86,23.25581395348837,83.75882041842382,-50.93138776,-4.486539856,210 days,44 days,0.6912038867648278,-2.647555097,-0.858573845,SSLStrategy,,
40,23/03/1980,28/07/2024,16198 days,60.69114470842333,232.05015007017906,11927.169999999998,-97.6794985,-95.91025634,-44.75339917,83.40057387059355,0,0,0,-99.19601922,-30.2834153,15036 days,2687 days,184,25,408.46863675850403,-97.47276684,-52.43630309,301 days,47 days,0.2599976786485289,-19.99776225,-6.948139004,SSLStrategy,,
2,7/01/1962,28/07/2024,22848 days,66.67687595712098,250.86605338095862,11460.705420169832,-97.49133947,395.0792679,-33.767547,52.29935679509059,0,0,0,-99.26275231,-30.55456723,21273 days,3772 days,266,36.46616541353384,78.14995747627178,-33.03226557,-1.475586289,343 days,51 days,0.8376902270615741,-0.756715083,-2.454729206,SSLStrategy,,
10,21/07/1991,28/07/2024,12061 days,68.21345707656613,256.7868891143725,29774.914374999997,-97.43213111,393.2093065838481,-53.94469806,77.55353863133261,0,0,0,-99.15791903,-50.33152941,8911 days,2974 days,141,33.33333333333333,185.20499108734398,-35.94250449,-2.613728233,252 days,52 days,0.9467184399304545,-0.395838949,-0.713084682,SSLStrategy,,
104,23/03/1980,28/07/2024,16198 days,71.10151187904967,276.27384904859707,15127.034439029687,-97.23726151,405.0323997212228,-43.21284436,48.08883208141885,0,0,0,-98.30007095,-28.3040767,13916 days,2268 days,195,37.94871794871795,204.09544176352577,-73.13348242,2.2934066408311082,259 days,53 days,2.387617931214177,6.231439765092955,2.5460406147488372,SSLStrategy,,
122,8/11/1987,28/07/2024,13412 days,72.92644757,288.8553312587611,14748.08384965896,-97.11144669,157.99254958954495,-49.07735233,44.14046903277277,0,0,0,-98.45063873,-16.55180832,11452 days,1021 days,168,32.142857142857146,55.91370603366856,-41.17647247,-2.119378785,273 days,52 days,0.7063998604654581,-1.391729992,-1.285398273,SSLStrategy,,
208,23/03/1980,28/07/2024,16198 days,67.81857451403887,289.4859792959501,13791.923434753418,-97.10514021,828.0000166459517,-42.79304475,62.54244164164929,0,0,0,-98.14678194,-22.13585622,15995 days,3213 days,212,44.81132075471698,1459.6625413316008,-25.79289847,43.96798049,315 days,45 days,31.070506842723397,136.31158192217526,6.512754474156846,SSLStrategy,,
230,25/03/1990,28/07/2024,12544 days,70.77523703290575,301.3648350763192,23970.19932982922,-96.98635165,139.48411312327204,-50.97814599,31.073265149466817,0,0,0,-98.75973143,-12.78813451,11445 days,825 days,175,22.857142857142858,80.24033192690648,-25.55433269,-1.994174868,280 days,44 days,0.6121984797695653,-1.516422875,-0.843977437,SSLStrategy,,
99,23/03/1980,28/07/2024,16198 days,62.419006479481645,352.80029080151064,13636.996171569825,-96.47199709,-73.47368522,-40.98088635,95.94698497026548,0,0,0,-98.89676089,-24.98243008,15995 days,3223 days,206,30.097087378640776,266.8564191765842,-79.83193148,-10.68407247,238 days,43 days,0.573132748,-4.976220576,-4.388001662,SSLStrategy,,
226,6/05/1973,28/07/2024,18711 days,72.25130890052355,377.5184017336116,15441.448413101418,-96.22481598,9436.813724,-36.06295119,37.55094377584437,0,0,0,-97.84841793,-26.91784471,9506 days,2322 days,226,30.08849557522124,63.00497986624072,-25.44934641,-1.465836886,266 days,53 days,0.7611173618538671,-0.969784858,-1.101763591,SSLStrategy,,
218,27/11/1983,28/07/2024,14854 days,71.36128120584078,395.35561116217207,15809.499016857146,-96.04644389,399.03942680819273,-42.61676678,29.144244428006584,0,0,0,-97.91796289,-9.481720379,13846 days,915 days,185,29.18918918918919,417.90922136663903,-16.83569608,0.068908127,378 days,51 days,1.8660412744453416,3.068874006063124,1.2531996284384712,SSLStrategy,,
223,24/09/2000,28/07/2024,8708 days,65.06024096385542,404.0784326457954,10000,-95.95921567,-49.87381068,-60.96503529,39.79553450921054,0,0,0,-97.21083278,-97.21083278,8596 days,8596 days,104,28.846153846153843,227.30017434224382,-32.84985665,-3.046472873,322 days,48 days,0.7431417670149784,-1.487682771,-2.284941951,SSLStrategy,,
243,7/01/1962,28/07/2024,22848 days,73.47626339969372,413.47906234739975,12083.62564789295,-95.86520938,7224.017812543177,-29.96245007,32.453085533978125,0,0,0,-97.20832236,-11.09064119,21994 days,1891 days,280,41.42857142857143,6889.166998537952,-17.42128424,66.75867836746386,322 days,53 days,245.85164434914014,669.4359727881023,6.172384389098323,SSLStrategy,,
175,4/06/1972,28/07/2024,19047 days,72.26304188096988,413.62546483992116,10197.75,-95.86374535,28.634361233480178,-34.76250135,37.495615756931024,0,0,0,-96.56603302,-25.94177389,18676 days,4683 days,224,31.69642857142857,100.70154605718625,-41.59809651,-1.432767524,406 days,55 days,0.7159111380077217,-0.955385099,-2.841647957,SSLStrategy,,
178,7/01/1962,28/07/2024,22848 days,74.94640122511485,507.0146782851101,10000,-94.92985322,12066.33978461577,-28.34739167,31.057258454322266,0,0,0,-95.17645325,-95.17645325,22778 days,22778 days,290,38.96551724137931,16148.439662320876,-13.02357519,75.78459956725969,322 days,53 days,634.7321014002334,1543.907757634445,5.924078851966832,SSLStrategy,,
32,4/06/1972,28/07/2024,19047 days,71.93240265,520.0558319854603,10000,-94.79944168,2269.2748247053296,-32.72838882,37.01956703,0,0,0,-94.79944168,-94.79944168,18900 days,18900 days,234,33.33333333333333,48.94150358867435,-21.58446934,-1.274229141,287 days,52 days,0.7256809257808301,-0.953417841,-2.208471509,SSLStrategy,,
106,7/01/1962,28/07/2024,22848 days,68.54517611026034,520.1954973,18431.397596321098,-94.79804503,2477.9229025088725,-28.14151754,34.828146768760526,0,0,0,-97.83609927,-9.690847186,20685 days,1127 days,262,30.15267175572519,78.00415747987093,-21.27387213,-1.149322351,399 days,53 days,0.8222598964506532,-0.675074371,-0.786268091,SSLStrategy,,
156,25/02/1973,28/07/2024,18781 days,73.65871833084948,531.5496690750037,10496.746520214081,-94.68450331,3139.0874056208054,-32.90574114,30.39489271,0,0,0,-95.87835883,-48.91950931,18564 days,9289 days,210,45.23809523809524,7123.825753251906,-16.93404635,138.33652140989824,392 days,59 days,440.4726433236661,1048.073055052077,6.831158918350948,SSLStrategy,,
177,4/06/1972,28/07/2024,19047 days,69.94856722997795,532.6067004334786,10608.30436150312,-94.673933,3622.0826959734195,-32.51292899,38.05949142,0,0,0,-95.31530496,-29.54132539,18627 days,4731 days,233,32.61802575107296,78.62984793625148,-17.51602494,-1.266828344,336 days,51 days,0.7531981884695393,-0.883668582,-2.182513914,SSLStrategy,,
65,26/05/1985,28/07/2024,14308 days,72.81173594,554.5651797389951,13914.128463449479,-94.4543482,329.07259169670175,-40.32182958,32.159234723590124,0,0,0,-96.58803504,-21.17080328,11452 days,1570 days,162,38.27160494,338.7244908018781,-34.45356666,4.660696373775752,266 days,58 days,4.275410642162444,11.605146362633691,2.7204659048581705,SSLStrategy,,
33,7/01/1962,28/07/2024,22848 days,69.70903522205207,556.5886950086998,29892.51132035968,-94.43411305,4962.821760332364,-27.59624042,44.47723431142088,0,0,0,-98.22914975,-15.60804463,15946 days,1406 days,282,48.226950354609926,5058.204013,-18.42683188,84.80249477422417,476 days,50 days,129.03213702135284,359.335547,7.446620615638011,SSLStrategy,,
210,21/02/1982,28/07/2024,15498 days,69.52595936794582,567.8370297,30066.181122109578,-94.3216297,1820,-37.66756898,57.21863598944532,0,0,0,-98.97880022,-22.81376505,8701 days,807 days,200,41.5,14179.950796949688,-48.16421346,64.02881893799852,224 days,47 days,153.98357444148272,649.2254304644334,5.389834741741298,SSLStrategy,,
127,15/05/2011,28/07/2024,4823 days,65.36231884057972,658.4843855619398,10195.792922058105,-93.41515614,-70.54605406,-76.28475138,38.78931281931241,0,0,0,-94.8304859,-49.02747436,4655 days,2335 days,66,30.303030303030305,64.24751640021765,-30.92996251,-4.049519782,161 days,41 days,0.5572180838950795,-3.035291689,-3.340827162,SSLStrategy,,
55,11/02/1990,28/07/2024,12586 days,71.09505280711507,658.5696046495262,13129.436554775231,-93.41430395,1707.1829484664913,-42.41551185,50.997682993549766,0,0,0,-94.98402234,-18.17064682,11410 days,1243 days,159,38.36477987421384,75.51411405,-29.81083039,-1.706917916,322 days,50 days,0.7995699857811314,-0.989156056,-1.489833567,SSLStrategy,,
154,9/02/1992,28/07/2024,11858 days,70.08849557522124,694.0232458019183,13613.160000000002,-93.05976754,110.9439941,-43.7007811,54.647050403782124,0,0,0,-96.88591683,-28.78723858,11515 days,2916 days,154,35.064935064935064,135.46050877718167,-53.31022133,-1.734520429,273 days,47 days,0.9268785411994634,-0.407632161,-1.357276593,SSLStrategy,,
193,9/08/2015,28/07/2024,3276 days,62.68656716417911,694.9275583934707,12387.557282800668,-93.05072442,69.52662674589875,-87.44728725,40.083661628470466,0,0,0,-94.76109377,-86.21953324,1736 days,1565 days,46,28.26086956521739,265.79565321390453,-39.55865924,-5.678937272,175 days,38 days,0.957867498,-0.465193761,-1.061045739,SSLStrategy,,
129,24/05/1992,28/07/2024,11753 days,69.4047619,707.8373946380459,18473.667089233393,-92.92162605,941.3114954213628,-43.74846706,52.041711045706606,0,0,0,-96.16839802,-24.16867091,8134 days,1143 days,155,31.61290322580645,158.92759681243987,-28.17924439,-1.721955296,266 days,46 days,0.8722272213861584,-0.649132024,-0.839438449,SSLStrategy,,
238,4/06/1972,28/07/2024,19047 days,72.40999265246143,743.5581538867867,10366.928392753602,-92.56441846,6633.022756378576,-29.42486631,45.686824094116204,0,0,0,-94.26660285,-50.58330729,18823 days,9457 days,232,32.327586206896555,67.73897058823528,-25.92829605,-1.125397992,301 days,53 days,0.8367316527915118,-0.632779905,-2.243492281,SSLStrategy,,
149,7/01/1962,28/07/2024,22848 days,74.02756508422664,759.3769931715402,19889.52977,-92.40623007,34661.2904,-25.03744175,40.41765391133057,0,0,0,-96.41433357,-9.998328464,21378 days,1076 days,286,38.81118881118881,42646.18355533724,-26.68277168,82.61743261585434,385 days,53 days,636.5112126098506,2029.2680594075343,5.928102386198766,SSLStrategy,,
198,3/01/1982,28/07/2024,15547 days,69.08190819081909,780.1675704574398,15643.61313,-92.1983243,243.8389174356823,-34.23063271,49.56104339724903,0,0,0,-95.29669023,-18.84444393,12411 days,1403 days,197,35.53299492385787,47.209877423899236,-25.35794593,-1.308107808,266 days,48 days,0.8247662537964633,-0.747039471,-1.026289846,SSLStrategy,,
96,23/03/1980,28/07/2024,16198 days,71.79265659,791.3603659725105,17119.139817171097,-92.08639634,724.9036773381634,-32.96377435,68.93272205583688,0,0,0,-96.14900905,-19.8501152,9793 days,941 days,184,46.19565217391305,624.8043383203019,-38.03701156,28.085849592458146,259 days,57 days,16.181338816797375,58.282312454412235,5.833804374,SSLStrategy,,
82,4/08/1996,28/07/2024,10220 days,62.28610540725531,792.7351902174902,27578.761361370085,-92.0726481,-40.47449008,-46.91517246,272.04044475594463,0,0,0,-98.98994379,-40.15057265,8911 days,2019 days,135,25.925925925925924,182.5540802333792,-55.48219446,-1.865882444,182 days,41 days,1.1203837185893317,0.9163125195961453,-0.893388645,SSLStrategy,,
225,14/11/1999,28/07/2024,9023 days,69.53488372093022,831.4031498718177,10365.8225,-91.6859685,82.31205500609485,-50.52733379,24.916130824349068,0,0,0,-91.9793808,-91.9793808,8883 days,8883 days,112,25.892857142857146,61.94779414863403,-24.99999751,-2.272331702,189 days,50 days,0.4829988209004124,-1.945306067,-3.317277022,SSLStrategy,,
143,17/06/2001,28/07/2024,8442 days,72.41093621,841.5596999740469,11991.26469970703,-91.584403,116.9934663337076,-52.69110187,21.610090913594586,0,0,0,-92.98189373,-21.3311405,8092 days,1644 days,106,31.132075471698112,24.719484206650044,-34.9101417,-2.325122834,196 days,51 days,0.39524827838133353,-2.110027374,-3.202516059,SSLStrategy,,
176,4/06/1972,28/07/2024,19047 days,74.39382806759735,890.6873830508921,10474.017886226176,-91.09312617,10428.905892158275,-27.69539517,35.97122833434186,0,0,0,-91.49977188,-45.92906073,18879 days,9450 days,247,34.41295546558704,50.25268972843313,-15.37111618,-1.000249275,259 days,51 days,0.7672072312444159,-0.700538027,-1.363725361,SSLStrategy,,
128,7/01/1962,28/07/2024,22848 days,75.65084226646248,893.1999382349499,26699.430403055834,-91.06800062,25885.66466631238,-23.66481929,38.07008530056301,0,0,0,-96.81772235,-12.33682691,11753 days,807 days,284,33.45070422535211,46.06770764976964,-24.4399303,-0.855996175,322 days,54 days,0.8464907727745954,-0.49209837,-0.563754392,SSLStrategy,,
84,7/01/1962,28/07/2024,22848 days,69.55589586523736,924.6065996503653,11208.500143871302,-90.753934,4462.979006499576,-23.36934417,39.459348595106086,0,0,0,-96.87137742,-12.47060312,21455 days,1886 days,267,29.588014981273407,70.60671760948603,-20.40839922,-0.900905747,364 days,53 days,0.9087378701718687,-0.334317663,-1.46427782,SSLStrategy,,
57,25/02/1973,28/07/2024,18781 days,72.20566318926974,942.9811834794161,10580.43375,-90.57018817,3337.211062930046,-27.46600776,46.663512416511814,0,0,0,-91.08749976,-46.52408113,18690 days,9352 days,233,49.35622317596567,14027.300371771304,-24.09867173,134.5546137208304,252 days,52 days,334.36923600380834,945.7798590285532,7.369614084931437,SSLStrategy,,
170,3/01/1982,28/07/2024,15547 days,71.42214221422142,952.9945404433873,10000,-90.4700546,422.49609753532127,-32.03288589,52.275324317968575,0,0,0,-95.71036151,-95.71036151,15442 days,15442 days,201,31.84079602,79.03436576206519,-42.21255701,-1.197091322,231 days,49 days,0.8589780517792129,-0.564165708,-1.762673987,SSLStrategy,,
140,20/06/1976,28/07/2024,17570 days,70.84826762246117,965.7764117836592,30388.150682260966,-90.34223588,766.5467297695981,-28.80635294,67.07086919370897,0,0,0,-97.02927129,-31.12948127,9744 days,1454 days,209,40.19138755980861,1164.4550136519927,-27.45096286,22.553530690989398,364 days,53 days,17.868842571191674,75.39210709270756,4.681506636,SSLStrategy,,
69,23/03/1980,28/07/2024,16198 days,70.66954644,987.3356380820118,10553.609499886032,-90.12664362,5312.197916808356,-30.58395037,50.61958648745696,0,0,0,-92.79961754,-70.18885977,13622 days,7956 days,204,43.13725490196079,3348.0585795059474,-23.12408629,59.479577227912614,294 days,50 days,95.71502181413442,305.3564522149645,5.830892542213036,SSLStrategy,,
61,6/05/2007,28/07/2024,6293 days,67.66666666666666,1062.1665188407828,10794.82294151306,-89.37833481,104.67111326796467,-59.72208306,43.78133609224194,0,0,0,-93.589865,-55.45844235,6083 days,3066 days,77,36.36363636363637,52.167083987731424,-34.64052623,-2.892119043,140 days,49 days,0.6900420833875811,-1.955687041,-1.401580563,SSLStrategy,,
73,6/05/1973,28/07/2024,18711 days,70.90501121914734,1168.0971559142895,10000,-88.31902844,354.4972645116726,-25.40474075,36.13508432498779,0,0,0,-88.31902844,-88.31902844,18564 days,18564 days,211,41.70616113744076,801.1843412057725,-13.17271643,27.01538728,350 days,56 days,26.056771111426663,72.43335387232354,5.338551842087411,SSLStrategy,,
121,11/05/2008,28/07/2024,5922 days,74.38016529,1183.0172079849146,11063.350190887451,-88.16982792,29.833600455345483,-60.14144666,32.36334325981107,0,0,0,-90.12037836,-45.37293982,5796 days,2905 days,71,32.3943662,50.51969653480188,-74.1754937,-2.992319415,224 days,56 days,0.5736363573455693,-1.813461695,-1.163022316,SSLStrategy,,
39,26/07/1987,28/07/2024,13517 days,70.80745341614907,1190.6944220351822,34593.11187499998,-88.09305578,361.9682675,-33.10447627,59.88176656328152,0,0,0,-98.24271467,-15.02640609,9310 days,555 days,169,37.278106508875744,520.2898732841472,-27.75307798,3.9255421604760032,392 days,50 days,3.895295691622674,13.483076732502616,2.1283627210690317,SSLStrategy,,
90,17/02/1985,28/07/2024,14406 days,68.47984458474988,1208.9072606848993,69075.59031249996,-87.91092739,2853.599853515625,-31.24008553,66.89600436302084,0,0,0,-98.39259667,-17.47613741,11319 days,835 days,179,35.754189944134076,2795.686130897672,-20.89434175,2.5021768993719995,238 days,49 days,7.883359390478146,31.085158674478457,1.3821203327736706,SSLStrategy,,
148,10/07/2005,28/07/2024,6958 days,71.35678391959799,1221.5004470157483,14618.736950836179,-87.78499553,-53.45454649,-53.75749183,37.693259039446744,0,0,0,-92.68312969,-13.53161177,6384 days,676 days,81,30.864197530864196,132.51353006812155,-40.32395868,-2.568561485,336 days,55 days,0.7703360054306845,-1.268151862,-1.040230392,SSLStrategy,,
120,23/03/1980,28/07/2024,16198 days,70.49676025917927,1299.1999603557217,23373.04142306326,-87.0080004,3894.276809285932,-27.5137536,50.048651326170514,0,0,0,-95.5946944,-17.03560429,9268 days,725 days,191,40.31413612565445,3416.8787802895595,-24.42217393,32.280419167344185,252 days,53 days,57.82808825483676,228.50636979892212,4.227439268159648,SSLStrategy,,
187,23/03/1980,28/07/2024,16198 days,72.0950324,1301.37005,17830.457540037627,-86.9862995,1272.6491091167663,-27.49467731,65.77232574,0,0,0,-93.95489161,-16.35174845,13902 days,1455 days,181,48.06629834254144,1077.518108312268,-27.77958101,41.692825472660665,252 days,58 days,30.26102161274717,105.18037071682016,5.967423620204288,SSLStrategy,,
144,6/05/1973,28/07/2024,18711 days,73.11144353,1328.4478443607536,13159.624353340563,-86.71552156,21114.84641114749,-24.08338187,53.495723720806886,0,0,0,-89.97636812,-46.69653315,10493 days,4636 days,229,48.47161572052402,56838.85923433786,-21.95404266,172.15839396498956,371 days,53 days,1849.767271198816,5253.186608032478,5.743854049523788,SSLStrategy,,
164,23/03/1980,28/07/2024,16198 days,69.67602591792657,1329.4482193660076,158020.8307535553,-86.70551781,1140.614257235711,-27.25024015,53.99388216952995,0,0,0,-99.158688,-8.665429798,11879 days,333 days,177,42.37288136,723.5294366973678,-35.79230921,20.11701356823732,385 days,57 days,11.785266141416797,50.07529381482102,4.645694371,SSLStrategy,,
108,14/03/1999,28/07/2024,9268 days,66.41509433962264,1450.0574376511522,10038.997802906037,-85.49942562,2900.620595,-41.25304534,47.47672362985494,0,0,0,-94.0058238,-53.06818555,8820 days,4417 days,108,31.48148148148148,97.05018736874955,-39.21566053,-1.778127555,308 days,51 days,0.8809359542309165,-0.616198472,-2.041405737,SSLStrategy,,
