,Start,End,Duration,Exposure Time [%],Equity Final [$],Equity Peak [$],Return [%],Buy & Hold Return [%],Return (Ann.) [%],Volatility (Ann.) [%],Sharpe Ratio,Sortino Ratio,Calmar Ratio,Max. Drawdown [%],Avg. Drawdown [%],Max. Drawdown Duration,Avg. Drawdown Duration,# Trades,Win Rate [%],Best Trade [%],Worst Trade [%],Avg. Trade [%],Max. Trade Duration,Avg. Trade Duration,Profit Factor,Expectancy [%],SQN,_strategy,
AROC_data.pkl,30/10/2007,13/06/2024,6071 days,57.29537367,4261.92419,10000,-57.3807581,-77.42826386,-53.45945501,58.02013398,0,0,0,-82.75618512,-82.75618512,5855 days,5855 days 00:00:00,19,26.31578947,125.2137265,-46.8118488,-4.42983015,719 days,154 days 00:00:00,1.171608268,2.142326017,-0.825020483,SSLStrategy,
WBD_data.pkl,21/09/2005,9/07/2024,6866 days,56.84931507,4339.961439,63584.28806,-56.60038561,-2.877754627,-51.34299866,62.95600487,0,0,0,-93.19466855,-14.98607679,3893 days,471 days 00:00:00,26,26.92307692,180.9492909,-60.91455482,-3.177211137,821 days,131 days 00:00:00,1.307202759,2.982679886,-0.135080069,SSLStrategy,
CCL_data.pkl,6/10/1987,14/06/2024,13401 days,67.81609195,4347.334746,30011.48375,-56.52665254,292.7040039,-29.15663095,108.6409372,0,0,0,-87.63487623,-21.19877041,9459 days,1603 days 00:00:00,47,31.91489362,93.74416433,-48.50187266,-1.761099529,717 days,152 days 00:00:00,1.114657604,0.921376416,-0.313545785,SSLStrategy,
AGNC_data.pkl,29/07/2008,24/07/2024,5839 days,56.74603175,4464.024746,12494.27292,-55.35975254,-36.72820142,-55.35975254,32.94842289,0,0,0,-70.53816275,-21.46364769,4326 days,1102 days 00:00:00,20,30,17.2161205,-42.30550033,-3.961435769,379 days,139 days 00:00:00,0.410018009,-3.160359134,-1.30809695,SSLStrategy,
KHC_data.pkl,7/01/2016,5/06/2024,3072 days,43.75,4464.798534,10000,-55.35201466,-51.78025392,-79.55686835,13.70471026,0,0,0,-55.75521427,-55.75521427,2766 days,2766 days 00:00:00,11,18.18181818,15.18941658,-22.90310731,-7.107912809,236 days,99 days 00:00:00,0.300420625,-6.393682015,-1.841449468,SSLStrategy,
LCID_data.pkl,23/02/2021,25/06/2024,1218 days,12.72727273,4485.910885,10107.78588,-55.14089115,-92.89974421,-97.45994605,3.520424274,0,0,0,-55.61925296,-30.52174549,889 days,468 days 00:00:00,1,0,-55.31133924,-55.31133924,-55.31133924,140 days,140 days 00:00:00,0,-55.31133924,,SSLStrategy,
CLSK_data.pkl,23/03/2017,24/07/2024,2680 days,51.1627907,4564.941746,46437.71225,-54.35058254,-44.76666768,-89.95231407,3.4685E+11,0,0,0,-98.36145563,-98.36145563,2135 days,2135 days 00:00:00,5,60,288.6397642,-87.19540688,-14.74361713,418 days,192 days 00:00:00,2.627806079,44.50908938,-0.462684585,SSLStrategy,
CTRA_data.pkl,26/06/1990,5/07/2024,12428 days,69.81818182,4763.385497,18775.97538,-52.36614503,1822.198888,-28.8087131,96.25106115,0,0,0,-84.37939408,-25.95511514,7209 days,1692 days 00:00:00,42,30.95238095,79.32748679,-43.52087972,-1.753503847,872 days,173 days 00:00:00,1.131605823,1.081768125,-0.382800304,SSLStrategy,
FCX_data.pkl,20/10/1995,17/07/2024,10498 days,59.86078886,4766.175606,27079.95063,-52.33824394,291.9191919,-35.16190023,115.4673675,0,0,0,-84.99497557,-28.2997113,4941 days,1001 days 00:00:00,36,27.77777778,114.4867545,-32.77975816,-2.044487106,486 days,131 days 00:00:00,1.204576242,1.944746238,-0.286132435,SSLStrategy,
VLY_data.pkl,19/06/1990,2/05/2024,12371 days,67.46347942,4817.547036,35611.43915,-51.82452964,148.2818844,-21.68334908,59.01329408,0,0,0,-86.47191141,-11.49817994,9502 days,671 days 00:00:00,76,25,71.79467208,-23.26959179,-0.957657205,535 days,88 days 00:00:00,0.995613031,-0.020287292,-0.253146397,SSLStrategy,
GM_data.pkl,28/01/2011,23/07/2024,4925 days,61.33333333,5141.29359,14691.19528,-48.5870641,26.72131968,-52.53198256,45.51291682,0,0,0,-75.36801066,-17.74218331,3850 days,746 days 00:00:00,16,37.5,49.27782281,-35.53675619,-4.081118419,496 days,151 days 00:00:00,0.81073197,-1.827340125,-0.667611947,SSLStrategy,
MO_data.pkl,11/05/1962,12/06/2024,22678 days,74.75832438,5407.883491,41939.59297,-45.92116509,32071.86177,-15.32860404,88.40032311,0,0,0,-87.10554131,-24.15168136,7398 days,1383 days 00:00:00,78,42.30769231,34904.19318,-72.32602821,74.41847079,1065 days,186 days 00:00:00,444.314035,2661.963785,2.896080401,SSLStrategy,
IBM_data.pkl,11/04/1962,5/06/2024,22701 days,67.64112903,5664.442447,21846.64098,-43.35557553,2444.759951,-13.44464177,64.05302269,0,0,0,-78.49169518,-16.54405619,10323 days,1571 days 00:00:00,77,29.87012987,87.63037038,-26.12694291,-0.744556681,741 days,164 days 00:00:00,1.110418282,0.610960713,-0.268079829,SSLStrategy,
KIM_data.pkl,18/02/1992,10/06/2024,11801 days,70.40441176,5688.801775,13515.69031,-43.11198225,247.6250379,-22.99534335,58.2852653,0,0,0,-71.23763215,-17.14634012,6313 days,1375 days 00:00:00,38,42.10526316,50.99372871,-57.94128001,-1.477181264,624 days,189 days 00:00:00,0.977495108,-0.110948494,-0.528152628,SSLStrategy,
SLB_data.pkl,1/04/1982,22/05/2024,15392 days,65.35211268,6081.339956,29857.81086,-39.18660044,320.158188,-16.18245113,94.83418679,0,0,0,-79.82167769,-20.36258786,5166 days,1067 days 00:00:00,53,41.50943396,129.5362589,-61.94611578,-0.935750789,1028 days,154 days 00:00:00,1.221670555,1.273029295,-0.220722571,SSLStrategy,
LTMAY_data.pkl,13/02/1998,18/07/2024,9652 days,23.18059299,6129.865063,12436.93691,-38.70134937,-82.18729035,-28.2821872,151.6022867,0,0,0,-57.69909464,-40.75910962,7987 days,3063 days 00:00:00,13,23.07692308,126.9756387,-31.59509921,-3.923935665,377 days,136 days 00:00:00,1.117780056,1.309577983,-0.559284182,SSLStrategy,
AQN_data.pkl,9/04/2010,18/07/2024,5214 days,61.56862745,6238.273705,15766.33033,-37.61726295,35.55045106,-37.26997909,33.32969695,0,0,0,-60.7337869,-10.60606965,1604 days,323 days 00:00:00,16,37.5,27.02880391,-31.57679772,-2.525693209,583 days,174 days 00:00:00,0.722152605,-1.63689425,-0.590122887,SSLStrategy,
DAL_data.pkl,26/07/2007,22/07/2024,6206 days,66.66666667,6280.63473,28083.32185,-37.1936527,126.3946304,-34.00781291,174.8328061,0,0,0,-77.63571288,-23.00355119,3506 days,716 days 00:00:00,26,26.92307692,228.6269135,-58.92798949,-1.792031357,664 days,136 days 00:00:00,1.524500809,5.518986936,-0.150684312,SSLStrategy,
CFG_data.pkl,16/12/2014,3/06/2024,3457 days,60.13071895,6282.144316,12655.7369,-37.17855684,43.17526277,-53.49797664,85.48232653,0,0,0,-58.54596038,-20.15414511,2316 days,617 days 00:00:00,10,30,68.95953112,-41.84160652,-4.559727406,361 days,195 days 00:00:00,1.02189797,0.267627034,-0.438028939,SSLStrategy,
YMM_data.pkl,28/09/2021,24/07/2024,1030 days,46.77419355,6282.539898,10000,-37.17460102,-47.71371911,-84.88119417,10.77550497,0,0,0,-40.92340117,-40.92340117,726 days,726 days 00:00:00,5,20,3.715171088,-22.4081113,-8.880183366,155 days,84 days 00:00:00,0.080590888,-8.476794944,-1.964200068,SSLStrategy,
C_data.pkl,25/03/1977,22/07/2024,17286 days,69.37738247,6484.749978,31118.99384,-35.15250022,294.7217257,-12.95023705,90.06494543,0,0,0,-83.81212281,-20.32130784,9485 days,1290 days 00:00:00,56,33.92857143,147.999902,-38.10236205,-0.778987325,750 days,182 days 00:00:00,1.251917149,1.812340466,-0.212237685,SSLStrategy,
HPE_data.pkl,7/01/2016,17/07/2024,3114 days,59.44055944,6492.761316,10082.78298,-35.07238684,161.1582339,-53.28503022,56.98366768,0,0,0,-58.466835,-34.21755311,2465 days,1308 days 00:00:00,14,35.71428571,23.15958143,-36.81917226,-3.042806668,280 days,102 days 00:00:00,0.729668149,-1.850414418,-0.916596515,SSLStrategy,
CSGP_data.pkl,16/10/1998,11/07/2024,9400 days,76.92307692,6728.634093,13263.55544,-32.71365907,11040.74009,-20.2198256,108.9410072,0,0,0,-77.32294173,-41.98413045,8875 days,4451 days 00:00:00,35,34.28571429,87.98225551,-30.83429226,-1.124024202,630 days,166 days 00:00:00,1.18926778,1.499324598,-0.412315302,SSLStrategy,
TOST_data.pkl,30/11/2021,24/07/2024,967 days,51.28205128,6740.894832,10112.18145,-32.59105168,-37.98450063,-92.17918755,9.775593264,0,0,0,-43.70576814,-26.98717741,524 days,302 days 00:00:00,4,25,10.56368624,-26.24728541,-9.400945929,131 days,90 days 00:00:00,0.239010313,-8.408482652,-1.351537629,SSLStrategy,
KMI_data.pkl,29/04/2011,23/05/2024,4773 days,61.60714286,6758.457907,11318.67955,-32.41542093,-33.24002808,-35.64555267,45.67377718,0,0,0,-45.69051157,-25.54795556,4426 days,2294 days 00:00:00,18,38.88888889,15.56578394,-26.35594886,-2.157810405,377 days,133 days 00:00:00,0.615904322,-1.669953916,-0.927285375,SSLStrategy,
CVX_data.pkl,26/03/1962,23/07/2024,22765 days,70.03745318,6771.724868,22027.44502,-32.28275132,4353.698529,-8.787860055,65.78062919,0,0,0,-74.93638946,-21.93661253,9776 days,2005 days 00:00:00,85,37.64705882,3798.545132,-25.04143103,34.47617678,849 days,160 days 00:00:00,69.32943753,296.2964068,2.720527444,SSLStrategy,
BZ_data.pkl,24/08/2021,15/07/2024,1056 days,30.76923077,6950.22252,10000,-30.4977748,-49.95756351,-82.84852648,14.26397782,0,0,0,-41.92457098,-41.92457098,544 days,544 days 00:00:00,4,25,14.56267153,-31.19633223,-8.708385831,195 days,73 days 00:00:00,0.335260906,-7.218540034,-0.905119437,SSLStrategy,
BABA_data.pkl,1/12/2014,13/06/2024,3482 days,58.95522388,6978.239797,15580.99584,-30.21760203,-28.59703573,-49.16662022,75.62182932,0,0,0,-55.21313355,-21.24517472,1322 days,430 days 00:00:00,11,36.36363636,29.1958527,-26.47059177,-3.23922022,346 days,148 days 00:00:00,0.881605252,-1.16049664,-0.419167017,SSLStrategy,
MPW_data.pkl,22/09/2005,25/06/2024,6851 days,54.77031802,7107.130797,15725.46267,-28.92869203,-53.59605699,-26.21980344,71.85838823,0,0,0,-57.76117747,-23.79989735,4052 days,971 days 00:00:00,19,36.84210526,54.03817197,-24.70230107,-1.784704915,449 days,170 days 00:00:00,0.910315624,-0.544188407,-0.473654469,SSLStrategy,
MAT_data.pkl,2/09/1976,22/07/2024,17490 days,66.97566628,7144.120735,20872.26225,-28.55879265,1040.136766,-9.353222728,131.7019089,0,0,0,-80.10727978,-21.15324779,10367 days,2144 days 00:00:00,69,46.37681159,1177.464177,-44.8244457,28.06622223,749 days,146 days 00:00:00,15.25970953,96.05055411,2.882032181,SSLStrategy,
LW_data.pkl,26/01/2017,24/07/2024,2736 days,45.94594595,7171.730128,11910.89233,-28.28269872,55.29863839,-52.9859873,57.12208714,0,0,0,-47.12729854,-18.26067353,1611 days,586 days 00:00:00,5,20,47.32313431,-27.62018084,-6.444809606,574 days,241 days 00:00:00,0.733523831,-3.438330706,-0.577479128,SSLStrategy,
GPS_data.pkl,23/06/1980,17/07/2024,16095 days,65.60693642,7574.711142,365006.5108,-24.25288858,48659.24373,-9.620543146,351.3090642,0,0,0,-98.43909965,-28.43812974,9225 days,1079 days 00:00:00,56,33.92857143,23227.90836,-62.0740166,25.75350174,848 days,167 days 00:00:00,84.59464735,866.8365869,1.604478155,SSLStrategy,
BTG_data.pkl,29/09/2008,7/06/2024,5730 days,60.7028754,7575.909338,61993.47144,-24.24090662,428.5714008,-20.02918774,151.1119418,0,0,0,-87.77950458,-16.38518035,4648 days,572 days 00:00:00,23,26.08695652,364.2445206,-25.44178701,-1.200399681,762 days,125 days 00:00:00,1.958141569,9.534765743,-0.057919336,SSLStrategy,
ABNB_data.pkl,22/02/2021,24/07/2024,1248 days,51.61290323,7611.828405,10515.50758,-23.88171595,-26.16463682,-67.01548628,42.81845168,0,0,0,-39.08448284,-21.26535248,975 days,512 days 00:00:00,4,25,7.107307773,-16.95331348,-6.681821801,239 days,143 days 00:00:00,0.22014278,-6.294420912,-1.34618165,SSLStrategy,
WMG_data.pkl,12/08/2020,24/07/2024,1442 days,45.71428571,7657.156773,13333.362,-23.42843227,1.561966291,-61.74896946,29.81055492,0,0,0,-42.57144768,-21.94905057,988 days,530 days 00:00:00,4,50,5.813492618,-18.63998273,-6.455060122,207 days,174 days 00:00:00,0.260040772,-5.888708481,-0.98443624,SSLStrategy,
F_data.pkl,16/08/1972,31/05/2024,18916 days,60.99033816,7674.430417,35816.35198,-23.25569583,479.7187077,-7.739873341,113.2560591,0,0,0,-90.68864163,-27.40379026,13427 days,2016 days 00:00:00,55,27.27272727,193.2473892,-48.9269425,-0.481205394,890 days,164 days 00:00:00,1.588771407,5.461101955,-0.087816708,SSLStrategy,
ETRN_data.pkl,28/01/2019,16/07/2024,1996 days,57.95454545,7724.738142,11510.77043,-22.75261858,-39.05870913,-52.25368308,85.63478381,0,0,0,-54.64395746,-36.5156269,994 days,713 days 00:00:00,9,33.33333333,22.45475347,-15.25423511,-2.828062003,355 days,95 days 00:00:00,0.632433505,-2.195551833,-0.880590765,SSLStrategy,
COTY_data.pkl,23/08/2013,8/07/2024,3972 days,57.89473684,7815.993564,15053.27308,-21.84006436,-39.92762314,-27.87874996,84.14150748,0,0,0,-60.23891944,-14.41108943,2875 days,579 days 00:00:00,15,46.66666667,39.84462233,-19.68538917,-1.628438333,350 days,119 days 00:00:00,0.977668887,-0.165194966,-0.335504916,SSLStrategy,
LI_data.pkl,23/10/2020,1/07/2024,1347 days,55.55555556,7818.304294,10214.96251,-21.81695706,3.695653909,-62.63626545,239.7086983,0,0,0,-48.55121088,-34.36569041,958 days,541 days 12:00:00,4,25,39.84706762,-34.88419989,-5.988865988,306 days,146 days 06:00:00,0.802611302,-2.449928364,-0.510019316,SSLStrategy,
EBAY_data.pkl,7/12/1998,23/07/2024,9360 days,67.05607477,7856.764447,10289.00037,-21.43235553,1642.299982,-13.23969375,101.163954,0,0,0,-73.70525085,-41.71082614,6405 days,2961 days 00:00:00,37,35.13513514,157.4458572,-36.01073802,-0.654519956,657 days,135 days 00:00:00,1.394388709,2.950812528,-0.228428668,SSLStrategy,
INFY_data.pkl,21/07/1999,5/06/2024,9086 days,63.95348837,7865.316849,22045.71913,-21.34683151,1383.24321,-13.12699266,83.6061013,0,0,0,-71.54790211,-20.05095637,4895 days,1084 days 00:00:00,36,30.55555556,129.3169123,-26.25384408,-0.665292303,725 days,128 days 00:00:00,1.364319909,2.601296506,-0.141316528,SSLStrategy,
ASX_data.pkl,12/12/2000,17/07/2024,8618 days,62.41134752,7888.327643,12570.9234,-21.11672357,333.8454747,-13.17809185,105.2287615,0,0,0,-58.49159433,-37.17410686,7490 days,2742 days 00:00:00,34,29.41176471,68.72845074,-20.63492985,-0.695303432,463 days,132 days 00:00:00,1.093378974,0.500986963,-0.313063134,SSLStrategy,
UAL_data.pkl,18/04/2006,5/07/2024,6653 days,60,8313.345681,23484.09943,-16.86654319,24.10879674,-15.57219536,430.491881,0,0,0,-76.02734794,-27.88702303,2040 days,620 days 00:00:00,21,57.14285714,214.3021807,-72.9601522,-0.923796092,462 days,148 days 00:00:00,1.966787897,9.956470162,-0.070751134,SSLStrategy,
CPNG_data.pkl,15/06/2021,17/07/2024,1128 days,47.27272727,8318.192581,11646.27532,-16.81807419,-46.36785199,-56.98823299,36.57567458,0,0,0,-28.61020142,-18.41627813,615 days,329 days 00:00:00,4,0,-2.194066379,-6.487721579,-4.504116836,134 days,87 days 00:00:00,0,-4.490250341,-5.09625295,SSLStrategy,
PARA_data.pkl,16/02/2006,11/06/2024,6690 days,56.04026846,8469.516588,47481.61866,-15.30483412,-56.10337921,-13.10504949,179.9551814,0,0,0,-82.1625361,-11.2100076,3745 days,385 days 00:00:00,20,25,166.5930349,-33.48712385,-0.832166336,845 days,160 days 00:00:00,1.50601285,4.725547476,-0.044232248,SSLStrategy,
SIRI_data.pkl,5/12/1994,14/06/2024,10784 days,68.46473029,8478.859009,25799.80268,-15.21140991,15.99999534,-8.265382676,344.8245273,0,0,0,-87.26669048,-25.26476254,5329 days,752 days 00:00:00,40,35,313.6776744,-41.33610025,-0.427811193,910 days,146 days 00:00:00,1.796460393,7.613502708,-0.086942291,SSLStrategy,
KVUE_data.pkl,20/07/2023,12/07/2024,358 days,27.77777778,8533.095033,10000,-14.66904967,-25.17339869,-89.14844056,3.506106841,0,0,0,-14.66904967,-14.66904967,178 days,178 days 00:00:00,2,0,-2.00803321,-12.9222759,-7.626208003,86 days,44 days 00:00:00,0,-7.465154556,-1.376464697,SSLStrategy,
HLN_data.pkl,5/01/2023,28/06/2024,540 days,51.42857143,8709.890851,10000,-12.90109149,9.114927894,-63.00938679,11.48067665,0,0,0,-12.90109149,-12.90109149,317 days,317 days 00:00:00,6,33.33333333,1.626018624,-5.565163873,-2.276505698,55 days,28 days 04:00:00,0.119242583,-2.243662713,-1.98750539,SSLStrategy,
LYFT_data.pkl,9/08/2019,17/07/2024,1804 days,42.85714286,8813.513574,12432.80347,-11.86486426,-78.46752407,-33.85639055,83.50137589,0,0,0,-29.11081082,-23.21585419,1058 days,459 days 16:00:00,4,50,5.245042639,-12.54795902,-3.116928454,222 days,121 days 06:00:00,0.344174091,-2.884556294,-0.801104159,SSLStrategy,
MCD_data.pkl,26/09/1966,1/07/2024,21098 days,74.47698745,9174.72009,25191.08761,-8.252799096,134148.7705,-2.244876024,101.6975413,0,0,0,-85.03468547,-30.59357925,18798 days,4016 days 00:00:00,72,40.27777778,49530.38634,-62.81274493,9.775177752,953 days,182 days 00:00:00,122.8141116,692.9577489,1.000742589,SSLStrategy,
PEP_data.pkl,24/08/1972,7/06/2024,18915 days,77.94117647,9453.689175,22684.65185,-5.463108252,10485.85452,-1.588756395,75.98816982,0,0,0,-61.22987057,-17.4286503,9734 days,1535 days 00:00:00,71,43.66197183,69.93464052,-27.18466833,-0.081725745,629 days,177 days 00:00:00,1.202791843,0.975187005,-0.039412267,SSLStrategy,
DVN_data.pkl,8/10/1985,15/07/2024,14160 days,66.45768025,9575.019531,27827.695,-4.249804689,898.4415426,-1.700691061,210.1665617,0,0,0,-84.9467144,-23.0982092,11336 days,1546 days 00:00:00,54,48.14814815,4610.784239,-41.55437703,103.6022481,750 days,139 days 00:00:00,91.03803273,532.9824802,3.728400813,SSLStrategy,
EXC_data.pkl,16/07/1973,25/06/2024,18607 days,64.70588235,9584.4832,31228.54584,-4.155167997,356.7732206,-1.275681448,66.36431351,0,0,0,-77.28729685,-12.84809053,5825 days,944 days 00:00:00,50,44,650.7517559,-25.12148317,28.3976832,1230 days,218 days 00:00:00,14.58043846,68.80078391,2.77860227,SSLStrategy,
SPOT_data.pkl,25/06/2018,23/07/2024,2220 days,56.12244898,9593.611717,10000,-4.063882831,94.15978049,-10.11890537,151.9502965,0,0,0,-62.31788369,-62.31788369,1950 days,1950 days 00:00:00,9,11.11111111,150.0699639,-28.19243844,-0.486412405,456 days,112 days 00:00:00,1.74587644,7.123684122,-0.059615598,SSLStrategy,
OTIS_data.pkl,24/06/2020,24/07/2024,1491 days,58.06451613,9663.996474,12152.8983,-3.360035262,64.62009146,-12.96991192,65.993309,0,0,0,-20.47990337,-12.06866284,1132 days,638 days 00:00:00,4,50,21.59241719,-11.26471602,-0.84354112,300 days,173 days 00:00:00,0.998410035,-0.008754858,-0.103964458,SSLStrategy,
AA_data.pkl,25/04/1962,10/07/2024,22722 days,65.0364204,9785.887031,21763.2368,-2.141129686,514.5916988,-0.565952122,136.1834297,0,0,0,-85.86358459,-40.49061111,21002 days,5515 days 00:00:00,79,41.7721519,228.6856624,-29.40485663,-0.023948943,722 days,155 days 00:00:00,1.445749506,2.63822752,-0.020029606,SSLStrategy,
MCHP_data.pkl,1/06/1993,23/07/2024,11375 days,72.53521127,9906.218879,24056.56332,-0.937811212,17866.6497,-0.417161889,128.0823397,0,0,0,-66.95412282,-18.9418283,8897 days,1069 days 00:00:00,44,36.36363636,117.2571946,-31.02379822,-0.026965743,762 days,158 days 00:00:00,1.378288902,2.691538951,-0.004580907,SSLStrategy,
ARM_data.pkl,2/01/2024,24/07/2024,204 days,0,10000,10000,0,128.7869949,0,0,,,,0,,,,0,,,,,,,,,,SSLStrategy,
GEV_data.pkl,1/07/2024,24/07/2024,23 days,0,10000,10000,0,-2.75788578,0,0,,,,0,,,,0,,,,,,,,,,SSLStrategy,
